,Id,Texto,Sentimento,Timestamp,Usuario,Plataforma,Hashtags,Retweets,Curtidas,Pais,Ano,Mes,Dia,Hora
0,0,Curtindo um lindo dia no parque!,Positivo,2023-01-15 12:30:00, User123      ,Twitter, #Nature #Park                            ,15.0,30.0,EUA,2023,1,15,12
1,1,O trânsito estava terrível esta manhã.,Negativo,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0,Canadá,2023,1,15,8
2,2,Acabei de terminar um treino incrível! 💪,Positivo,2023-01-15 15:45:00, FitnessFan   ,Instagram, #Fitness #Workout                        ,20.0,40.0,EUA,2023,1,15,15
3,3,Animado com a próxima escapadela de fim de semana!,Positivo,2023-01-15 18:20:00, AdventureX   ,Facebook, #Travel #Adventure                       ,8.0,15.0,Reino Unido,2023,1,15,18
4,4,Experimentando uma nova receita para o jantar esta noite.,Neutro,2023-01-15 19:55:00, ChefCook     ,Instagram, #Cooking #Food                           ,12.0,25.0,Austrália,2023,1,15,19
5,5,Sentir-se grato pelas pequenas coisas da vida.,Positivo,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023,1,16,9
6,6,Dias chuvosos pedem cobertores aconchegantes e chocolate quente.,Positivo,2023-01-16 14:45:00, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10.0,20.0,Canadá,2023,1,16,14
7,7,O lançamento do novo filme é imperdível!,Positivo,2023-01-16 19:30:00, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15.0,30.0,EUA,2023,1,16,19
8,8,As discussões políticas esquentam na linha do tempo.,Negativo,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0,EUA,2023,1,17,8
9,9,Saudades das vibrações do verão e dos dias de praia.,Neutro,2023-01-17 12:20:00, BeachLover   ,Facebook, #Summer #BeachDays                      ,18.0,35.0,Austrália,2023,1,17,12
10,10,Acabei de publicar uma nova postagem no blog. Confira!,Positivo,2023-01-17 15:15:00, BloggerX     ,Instagram, #Blogging #NewPost                      ,22.0,45.0,EUA,2023,1,17,15
11,11,Me sentindo um pouco indisposto hoje.,Negativo,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0,Canadá,2023,1,18,10
12,12,Explorando as jóias escondidas da cidade.,Positivo,2023-01-18 14:50:00, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12.0,25.0,Reino Unido,2023,1,18,14
13,13,"Ano novo, novas metas de fitness! 💪",Positivo,2023-01-18 18:00:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,EUA,2023,1,18,18
14,14,A tecnologia está mudando a maneira como vivemos.,Neutro,2023-01-19 09:45:00, TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023,1,19,9
15,15,Refletindo sobre o passado e olhando para frente.,Positivo,2023-01-19 13:20:00, Reflections  ,Facebook, #Reflection #Future                     ,20.0,40.0,EUA,2023,1,19,13
16,16,Acabei de adotar um amigo peludo fofo! 🐾,Positivo,2023-01-19 17:10:00, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canadá,2023,1,19,17
17,17,Sessão de jogos tarde da noite com amigos.,Positivo,2023-01-20 00:05:00, GamerX       ,Twitter, #Gaming #LateNight                      ,18.0,35.0,Reino Unido,2023,1,20,0
18,18,Participando de uma conferência virtual sobre IA.,Neutro,2023-01-20 11:30:00, TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,EUA,2023,1,20,11
19,19,A tristeza do inverno me fez sentir deprimido.,Negativo,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0,EUA,2023,1,20,15
20,20,Tomando café e apreciando um bom livro.,Positivo,2023-01-21 08:40:00, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023,1,21,8
21,21,Explorando o mundo da realidade virtual.,Positivo,2023-01-21 13:20:00, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15.0,30.0,EUA,2023,1,21,13
22,22,Dia produtivo marcando minha lista de tarefas.,Positivo,2023-01-21 16:45:00, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,EUA,2023,1,21,16
23,23,Acabei de terminar uma rotina de exercícios desafiadora.,Positivo,2023-01-22 09:15:00, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,Reino Unido,2023,1,22,9
24,24,Comemorando um marco no trabalho! 🎉,Positivo,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canadá,2023,1,22,14
25,25,Brunch de domingo com amigos.,Positivo,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,Reino Unido,2023,1,22,12
26,28,Aprender um novo idioma para crescimento pessoal.,Positivo,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,1,23,16
27,29,Noite tranquila com um bom livro.,Positivo,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Austrália,2023,1,23,19
28,30,Refletindo sobre a importância da saúde mental.,Positivo,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,EUA,2023,1,24,11
29,31,Nova pintura em andamento! 🎨,Positivo,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canadá,2023,1,24,15
